# Метеостанция Мурманск, Россия, WMO_ID=22113, выборка с 01.05.2021 по 01.06.2021, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=22113&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Мурманске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
31.05.2021 15:00;8,5;759,4;764,0;0,7;64;Ветер, дующий с северо-запада;6;10;11;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;2,1;;;;;;
31.05.2021 12:00;9,2;758,7;763,3;0,4;61;Ветер, дующий с северо-запада;3;6;11;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;50,0;2,0;;;;;;
31.05.2021 09:00;8,6;758,3;763,0;0,0;64;Ветер, дующий с северо-запада;3;5;9;90  или более, но не 100%; ;;;5,3;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;2,2;Следы осадков;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;4,0;;
31.05.2021 06:00;6,1;758,3;763,0;-0,2;75;Ветер, дующий с западо-северо-запада;5;7;7;90  или более, но не 100%; ;;;5,3;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;2,0;Следы осадков;12;;;;
31.05.2021 03:00;6,2;758,5;763,1;-0,2;66;Ветер, дующий с запада;3;4;6;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;0,3;;;;;;
31.05.2021 00:00;6,4;758,7;763,3;-0,4;60;Ветер, дующий с северо-запада;5;7;7;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50,0;-0,8;;;;;;
30.05.2021 21:00;7,6;759,1;763,8;-0,2;59;Ветер, дующий с северо-северо-востока;3;5;9;90  или более, но не 100%; ;;;;11,5;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-0,1;Следы осадков;12;;;;
30.05.2021 18:00;10,3;759,3;763,9;-0,7;46;Ветер, дующий с северо-запада;4;7;7;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,0;Следы осадков;12;;;;
30.05.2021 15:00;10,1;760,0;764,7;-0,5;46;Ветер, дующий с запада;4;8;11;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,2;;;;;;
30.05.2021 12:00;8,2;760,5;765,1;-0,1;54;Ветер, дующий с северо-запада;5;10;10;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20,0;-0,6;;;;;;
30.05.2021 09:00;5,6;760,6;765,3;-0,5;70;Ветер, дующий с западо-юго-запада;3;5;7;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;2,9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;0,4;Следы осадков;12;Поверхность почвы влажная.;2,0;;
30.05.2021 06:00;3,7;761,1;765,8;-0,1;76;Ветер, дующий с запада;3;7;7;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;2,9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20,0;-0,2;Следы осадков;12;;;;
30.05.2021 03:00;3,1;761,2;766,0;-0,2;75;Ветер, дующий с западо-юго-запада;2;3;6;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,0;;;;;;
30.05.2021 00:00;3,1;761,4;766,1;0,2;74;Ветер, дующий с западо-северо-запада;2;4;5;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,2;;;;;;
29.05.2021 21:00;3,5;761,2;766,0;0,3;69;Ветер, дующий с северо-запада;2;5;9;90  или более, но не 100%; ;;;;4,2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-1,8;2;12;;;;
29.05.2021 18:00;3,7;760,9;765,6;0,4;66;Ветер, дующий с северо-запада;6;9;11;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-2,1;2;12;;;;
29.05.2021 15:00;2,4;760,5;765,2;0,8;74;Ветер, дующий с северо-северо-запада;5;10;10;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;-1,8;;;;;;
29.05.2021 12:00;1,3;759,7;764,5;1,0;82;Ветер, дующий с северо-запада;6;10;13;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;2,0;-1,5;;;;;;
29.05.2021 09:00;0,5;758,7;763,5;1,1;85;Ветер, дующий с северо-северо-запада;5;9;13;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0,5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;-1,8;0,5;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Менее 0.5
29.05.2021 06:00;0,6;757,6;762,4;0,7;78;Ветер, дующий с севера;9;12;15;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0,5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-2,8;0,8;12;;;;
29.05.2021 03:00;-0,1;756,9;761,7;0,5;90;Ветер, дующий с северо-северо-запада;6;9;11;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;-1,5;;;;;;
29.05.2021 00:00;0,1;756,4;761,2;2,0;76;Ветер, дующий с северо-северо-запада;5;11;17;70 – 80%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;300-600;Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,6;;;;;;
28.05.2021 21:00;1,6;754,4;759,1;0,3;84;Ветер, дующий с севера;11;16;16;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;4,8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-0,8;0,9;12;;;;
28.05.2021 18:00;2,9;754,1;758,8;0,9;80;Ветер, дующий с севера;2;4;13;90  или более, но не 100%;Ливневая снежная крупа или небольшой град с дождем или без него, или дождь со снегом слабые в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-0,3;0,6;12;;;;
28.05.2021 15:00;2,1;753,2;757,9;1,0;72;Ветер, дующий с северо-северо-запада;6;9;15;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-2,4;;;;;;
28.05.2021 12:00;3,0;752,2;756,9;1,3;76;Ветер, дующий с севера;7;11;12;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-0,9;;;;;;
28.05.2021 09:00;3,7;750,9;755,5;0,6;65;Ветер, дующий с северо-северо-запада;6;8;9;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;2,2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20,0;-2,3;Следы осадков;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;3,0;;
28.05.2021 06:00;3,3;750,3;754,9;0,6;68;Ветер, дующий с северо-северо-запада;4;6;13;90  или более, но не 100%; ;;;2,2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-2,1;Следы осадков;12;;;;
28.05.2021 03:00;4,7;749,7;754,3;-0,2;68;Ветер, дующий с северо-запада;4;6;7;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-0,7;;;;;;
28.05.2021 00:00;4,9;749,9;754,6;-0,5;74;Ветер, дующий с юго-юго-запада;4;5;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;0,6;;;;;;
27.05.2021 21:00;6,8;750,4;754,9;-1,4;60;Ветер, дующий с севера;9;11;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;10,9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20,0;-0,5;Следы осадков;12;;;;
27.05.2021 18:00;10,6;751,8;756,4;-2,4;34;Ветер, дующий с западо-юго-запада;6;10;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50,0;-4,9;Осадков нет;12;;;;
27.05.2021 15:00;10,3;754,2;758,8;-2,5;35;Ветер, дующий с западо-юго-запада;7;10;14;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50,0;-4,5;;;;;;
27.05.2021 12:00;9,2;756,7;761,4;-2,5;37;Ветер, дующий с юго-запада;8;12;13;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50,0;-4,7;;;;;;
27.05.2021 09:00;6,8;759,2;763,9;-2,4;52;Ветер, дующий с юго-запада;8;;12;70 – 80%.; ;;;-0,1;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-2,6;Осадков нет;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;0,0;;
27.05.2021 06:00;2,2;761,6;766,4;-1,9;67;Ветер, дующий с юга;3;5;5;20–30%.; ;;;-0,1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50,0;-3,3;Осадков нет;12;;;;
27.05.2021 03:00;0,3;763,5;768,3;-1,5;78;Ветер, дующий с юго-юго-запада;2;2;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-3,1;;;;;;
27.05.2021 00:00;2,5;765,0;769,8;-0,8;62;Ветер, дующий с северо-востока;1;1;5;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-4,1;;;;;;
26.05.2021 21:00;4,2;765,8;770,6;-0,6;56;Ветер, дующий с востока;3;;7;90  или более, но не 100%; ;;;;7,2;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-3,8;Осадков нет;12;;;;
26.05.2021 18:00;5,1;766,4;771,1;-0,6;55;Ветер, дующий с востока;4;6;7;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,3;Следы осадков;12;;;;
26.05.2021 15:00;5,2;767,0;771,7;-0,4;49;Ветер, дующий с севера;3;4;8;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-4,7;;;;;;
26.05.2021 12:00;5,0;767,4;772,2;-0,3;53;Ветер, дующий с севера;3;5;5;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,9;;;;;;
26.05.2021 09:00;2,8;767,7;772,5;0,2;74;Ветер, дующий с севера;2;3;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;1,6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,5;Следы осадков;12;Поверхность почвы влажная.;2,0;;
26.05.2021 06:00;2,4;767,5;772,3;0,4;76;Ветер, дующий с севера;2;3;;90  или более, но не 100%; ;;;1,6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,5;Следы осадков;12;;;;
26.05.2021 03:00;1,9;767,1;771,9;0,2;76;Ветер, дующий с юго-запада;1;1;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-1,9;;;;;;
26.05.2021 00:00;2,6;766,9;771,7;0,7;70;Ветер, дующий с юго-юго-запада;1;2;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;20,0;-2,3;;;;;;
25.05.2021 21:00;3,4;766,2;771,0;0,5;64;Ветер, дующий с востока;2;4;7;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;6,4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-2,9;Следы осадков;12;;;;
